0,15,22,73,76,53,90,62,19,82,7,54,10,80,10,34,27,68,93,94,22,10,61,8,8,5,67,42,42,47,6,46,15,68,25,58,24,69,49,35,
85,0,54,86,20,92,46,97,18,45,13,97,5,99,77,98,95,54,14,65,71,86,48,20,72,76,61,39,41,55,52,10,57,19,57,8,67,23,41,16,
61,7,0,49,96,28,50,0,47,37,70,29,3,10,3,77,48,37,34,14,44,31,7,55,63,93,3,39,86,41,69,30,72,13,98,3,63,37,51,91,
21,75,14,0,2,71,26,48,0,54,41,9,70,33,9,96,84,54,52,85,3,25,11,14,5,67,40,57,90,12,99,13,11,85,43,92,68,17,5,84,
37,44,3,85,0,45,32,98,96,62,16,13,49,11,51,48,66,10,60,8,34,30,68,58,88,54,27,97,85,90,17,27,67,48,67,48,58,22,26,69,
73,68,43,94,74,0,98,50,1,60,37,77,81,7,9,71,53,68,86,14,30,17,34,13,6,45,88,46,0,44,2,90,43,84,91,34,65,87,74,83,
89,4,25,36,47,13,0,35,20,57,77,13,80,71,7,95,51,38,55,36,49,85,52,49,57,58,47,33,97,16,74,5,65,94,2,25,26,91,98,65,
93,10,68,88,23,30,21,0,18,36,88,40,96,10,51,24,98,37,54,68,78,0,79,37,4,83,71,47,86,68,82,68,59,40,89,42,39,17,63,26,
27,36,28,96,8,75,78,95,0,14,69,4,87,71,23,19,64,13,72,64,5,51,82,35,49,54,20,80,55,20,8,85,80,74,28,40,41,72,82,29,
28,5,76,33,17,64,94,97,35,0,20,24,29,66,53,58,74,44,1,78,42,88,95,22,74,6,83,23,13,42,82,77,92,30,42,35,99,75,49,18,
85,59,22,44,35,96,79,19,27,15,0,54,96,40,93,40,40,33,82,1,27,33,40,80,54,53,42,32,98,23,17,58,99,95,83,93,82,65,50,87,
78,26,64,96,97,88,86,37,98,90,2,0,2,17,73,22,84,45,79,68,91,92,64,81,95,10,57,54,1,57,0,57,75,82,95,22,0,69,44,82,
66,66,5,33,7,21,14,41,25,72,98,47,0,3,97,59,95,14,45,68,85,40,33,85,80,98,33,26,20,22,51,22,14,1,96,2,25,87,31,73,
73,95,16,29,28,58,52,53,77,23,99,8,54,0,0,58,42,32,81,25,35,74,94,94,18,74,50,84,46,7,95,34,8,83,71,95,90,24,4,56,
21,45,79,49,97,22,42,67,14,43,53,69,43,61,0,96,99,78,1,97,54,78,74,6,45,82,88,91,25,83,5,68,17,27,24,3,89,94,45,96,
96,31,83,69,3,53,25,90,46,87,72,16,88,27,49,0,78,47,38,34,66,8,30,17,84,9,74,36,42,19,58,6,5,33,4,0,23,94,4,3,
91,57,98,45,38,10,88,79,90,78,45,56,51,59,79,88,0,65,13,99,60,28,17,83,70,88,80,66,83,84,26,25,83,42,35,42,9,9,85,79,
73,20,95,45,63,73,1,55,45,54,15,34,9,95,44,74,74,0,74,27,56,57,43,5,95,64,52,62,14,16,17,69,78,80,34,26,40,33,71,19,
97,86,25,21,29,68,91,16,87,98,60,68,35,82,28,22,29,14,0,99,81,11,11,87,38,27,84,37,54,75,69,3,41,2,54,30,69,31,22,76,
27,72,35,74,16,56,49,34,96,52,12,96,25,33,90,7,85,99,86,0,94,44,30,37,41,18,94,18,65,80,51,58,90,6,38,72,8,75,36,71,
82,78,50,40,1,62,72,78,7,11,46,44,70,44,28,31,96,35,94,56,0,21,37,83,53,44,93,21,89,87,61,81,32,48,28,4,15,94,89,35,
78,45,16,10,54,33,7,88,45,78,7,75,73,80,80,49,44,94,96,96,8,0,40,82,91,46,29,14,95,41,40,12,36,6,99,16,11,5,27,29,
19,37,5,75,11,79,85,8,51,68,79,59,21,97,93,27,37,62,25,64,24,19,0,11,47,5,66,70,69,74,64,69,44,17,64,77,58,2,64,71,
11,61,21,63,27,61,80,90,39,12,71,78,48,79,63,5,0,26,57,70,44,8,15,0,33,86,98,35,42,56,20,34,24,72,90,13,2,2,55,83,
85,25,75,31,56,2,86,20,64,54,59,77,32,45,94,27,2,45,87,77,29,26,38,34,0,19,78,46,5,58,65,60,3,44,42,72,44,68,77,59,
31,0,77,70,87,97,42,2,79,77,62,11,57,14,78,54,58,87,41,12,78,55,80,62,98,0,93,56,32,90,72,50,58,25,85,56,76,51,56,50,
37,76,76,67,28,95,54,2,88,65,87,13,57,27,64,81,75,19,15,72,94,40,9,11,6,27,0,4,86,71,57,1,3,2,36,3,36,2,88,52,
66,43,91,67,66,2,59,92,30,60,4,81,57,35,83,56,96,66,64,60,0,91,67,30,30,64,84,0,11,20,24,28,78,87,67,48,28,2,73,43,
9,47,35,73,26,67,76,44,67,18,80,7,69,37,27,52,75,75,60,37,2,17,48,71,6,31,25,93,0,90,86,55,53,23,23,54,12,65,17,41,
63,53,19,16,92,40,17,59,41,59,14,73,52,42,36,40,91,99,63,67,94,41,82,53,81,63,27,83,46,0,83,15,86,58,34,96,83,82,1,55,
31,89,72,84,34,75,13,2,10,87,83,63,12,1,49,46,22,71,65,35,28,12,33,12,58,44,28,14,18,46,0,53,57,90,43,32,78,22,56,48,
78,67,60,16,96,63,20,2,85,8,87,74,11,16,66,27,18,55,59,26,89,47,98,84,64,34,25,72,68,69,71,0,24,65,22,87,67,68,95,36,
49,37,42,42,5,30,71,41,41,23,16,13,22,63,30,58,31,69,76,52,62,37,47,33,15,37,62,8,88,29,99,59,0,22,18,9,88,47,4,93,
53,92,92,83,49,52,55,49,61,35,64,56,98,91,43,74,11,90,9,27,68,68,62,52,12,24,57,91,3,53,41,10,26,0,76,22,59,69,54,98,
81,59,88,1,73,24,73,0,67,79,44,97,97,38,77,24,85,29,40,71,24,94,64,46,7,93,53,29,21,69,83,5,57,92,0,28,67,80,66,88,
27,38,23,90,11,58,55,44,72,49,51,37,29,28,82,73,86,94,41,93,80,70,43,78,97,95,39,40,4,10,9,44,19,40,12,0,32,0,3,53,
87,52,49,81,79,70,32,53,76,75,18,41,73,38,72,8,57,95,44,93,15,19,15,39,61,40,7,17,89,16,49,73,83,41,54,41,0,31,89,63,
8,65,42,62,64,86,69,35,6,46,32,55,37,55,10,37,67,36,10,19,39,63,14,64,60,26,45,57,31,83,31,77,67,31,36,27,73,0,57,50,
53,92,4,0,71,56,60,11,18,72,3,87,4,20,69,24,44,50,77,2,38,40,11,3,22,14,54,87,5,18,82,63,10,85,57,26,35,62,0,42,
7,99,14,27,85,27,96,27,56,98,7,91,76,95,54,12,12,81,0,78,57,1,72,6,99,89,40,77,18,63,42,89,82,8,69,2,24,13,26,0,
